Memory Size,Operation,Threads,Speed (MiB/sec),Speed (Gbps)
1G,read,1,4721.73,39.60875519307436
1G,read,8,19530.63,163.83485341951234
1G,read,16,31651.73,265.51404358302733
1G,read,32,38689.56,324.55166021093163
1G,write,1,4085.61,34.272592101703516
1G,write,8,3134.53,26.294352158074982
1G,write,16,3889.59,32.62825661599247
1G,write,32,4267.16,35.795544389382535
10G,read,1,5902.42,49.51310405861961
10G,read,8,33447.51,280.578143055174
10G,read,16,61337.09,514.5329745804122
10G,read,32,114471.3,960.2551815400232
10G,write,1,4502.71,37.7714816593511
10G,write,8,5150.33,43.20411377472805
10G,write,16,8200.96,68.7946614880976
10G,write,32,10368.94,86.98100189372889
100G,read,1,8067.46,67.67478194854846
100G,read,8,39248.93,329.2439974246965
100G,read,16,72466.87,607.896367102385
100G,read,32,126947.46,1064.9128318481999
100G,write,1,6779.4,56.86974794321749
100G,write,8,5073.62,42.5606234415534
100G,write,16,5889.51,49.40480709340928
100G,write,32,7604.05,63.78741582553368
